state,abbr,link,homevalue,fthb,cs,origltv,dti,orignoterate,conv,fha,va,ltv_fico,hfa_agencies,total
All,,,262433.957,0.511,725.706,87.834,36.602,3.793,0.579,0.272,0.112,0.229,1295,2144
Alabama,AL,http://www.ahfa.com/,198522.203,0.483,720.378,90.748,34.421,3.712,0.467,0.304,0.151,0.296,9,15
Alaska,AK,https://www.ahfc.us/,308216.922,0.5,725.487,92.452,37.706,3.559,0.394,0.217,0.302,0.277,2,2
Arizona,AZ,https://housing.az.gov/,246285.478,0.484,723.883,87.619,36.551,3.931,0.576,0.288,0.122,0.234,30,38
Arkansas,AR,http://adfa.arkansas.gov/,178740.325,0.482,720.195,90.781,34.099,3.668,0.462,0.285,0.123,0.297,4,13
California,CA,http://www.calhfa.ca.gov/,422067.977,0.539,727.609,84.475,39.593,3.879,0.605,0.292,0.095,0.193,243,262
Colorado,CO,https://www.chfainfo.com/,332276.731,0.458,733.191,85.749,37.176,3.846,0.632,0.221,0.134,0.186,29,63
Connecticut,CT,http://www.chfa.org,265505.464,0.603,727.705,87.642,37.222,3.68,0.623,0.295,0.063,0.201,14,37
Delaware,DE,http://www.destatehousing.com,270019.43,0.476,729.586,86.833,36.233,3.798,0.564,0.28,0.102,0.239,6,19
District of Columbia,DC,http://www.dchfa.org,506428.704,0.615,752.471,83.086,34.978,3.8,0.833,0.107,0.06,0.061,117,236
Florida,FL,http://www.floridahousing.org,243365.96,0.487,721.792,87.171,38.029,3.883,0.565,0.291,0.128,0.232,34,59
Georgia,GA,http://www.dca.ga.gov,232294.944,0.522,719.339,89.573,36.382,3.762,0.504,0.319,0.14,0.288,4,7
Hawaii,HI,http://www.hawaii.gov/dbedt/hhfdc,517271.975,0.492,741.926,85.107,39.843,3.736,0.595,0.072,0.272,0.135,5,17
Idaho,ID,http://www.idahohousing.com,222014.842,0.444,726.273,88.277,36.009,3.671,0.596,0.249,0.115,0.241,25,38
Illinois,IL,http://www.ihda.org,226903.516,0.561,727.121,87.501,36.011,3.783,0.665,0.255,0.06,0.194,12,25
Indiana,IN,http://www.ihcda.in.gov,172859.427,0.513,717.981,90.295,34.168,3.814,0.528,0.321,0.081,0.298,10,20
Iowa,IA,http://www.iowafinanceauthority.gov,185622.26,0.481,730.439,88.199,34.134,3.651,0.681,0.184,0.079,0.197,9,13
Kansas,KS,http://www.kshousingcorp.org,194820.841,0.48,726.249,89.692,34.626,3.698,0.577,0.259,0.124,0.232,9,18
Kentucky,KY,http://www.kyhousing.org,181951.038,0.503,719.214,89.792,34.519,3.787,0.501,0.297,0.106,0.285,17,25
