state,abbr,link,homevalue,fthb,cs,origltv,dti,orignoterate,conv,fha,va,ltv_fico,hfa_agencies,total
Louisiana,LA,http://www.lhc.la.gov,213449.334,0.543,713.977,90.562,35.917,3.812,0.47,0.303,0.112,0.316,3,9
Maine,ME,http://www.mainehousing.org,229012.247,0.465,726.998,88.271,36.439,3.734,0.551,0.228,0.119,0.238,26,86
Maryland,MD,http://www.dhcd.maryland.gov,322780.969,0.58,724.733,89.737,37.723,3.747,0.496,0.338,0.131,0.268,57,77
Massachusetts,MA,http://www.masshousing.com,351153.369,0.567,732.728,85.013,37.026,3.739,0.706,0.227,0.053,0.157,25,36
Michigan,MI,http://www.michigan.gov/mshda,186134.871,0.501,723.22,88.842,34.843,3.848,0.63,0.254,0.064,0.233,31,39
Minnesota,MN,http://www.mnhousing.gov,238263.047,0.502,734.557,88.472,35.239,3.687,0.672,0.22,0.064,0.18,8,14
Mississippi,MS,http://www.mshomecorp.com,179731.418,0.524,711.032,92.21,35.474,3.659,0.363,0.351,0.143,0.363,11,28
Missouri,MO,http://www.mhdc.com,189309.361,0.485,724.577,89.407,34.468,3.73,0.546,0.278,0.103,0.257,5,8
Montana,MT,http://www.housing.mt.gov,252786.957,0.428,736.24,86.639,35.579,3.638,0.63,0.162,0.135,0.167,4,14
Nebraska,NE,http://www.nifa.org,192940.862,0.489,732.187,89.17,34.838,3.628,0.6,0.234,0.124,0.201,11,24
Nevada,NV,http://www.housing.nv.gov,261924.338,0.526,719.381,88.431,37.626,3.965,0.504,0.342,0.141,0.258,3,8
New Hampshire,NH,http://www.nhhfa.org,263358.036,0.508,728.985,87.76,37.695,3.745,0.603,0.261,0.097,0.206,31,43
New Jersey,NJ,http://www.nj-hmfa.com,325768.475,0.583,729.184,85.058,38.234,3.794,0.647,0.3,0.045,0.178,9,15
New Mexico,NM,http://www.housingnm.org,215359.785,0.517,721.945,89.37,36.002,3.794,0.5,0.316,0.164,0.276,59,83
New York,NY,http://www.nyshcr.org,313214.278,0.609,732.726,84.765,37.57,3.756,0.658,0.271,0.054,0.163,34,55
North Carolina,NC,http://www.nchfa.com,233824.079,0.456,730.325,87.867,34.837,3.756,0.599,0.193,0.155,0.209,1,7
North Dakota,ND,http://www.ndhfa.org,252206.277,0.427,737.818,86.737,35.059,3.613,0.698,0.149,0.125,0.143,31,42
Ohio,OH,http://www.ohiohome.org,174033.413,0.53,721.071,89.846,35.141,3.792,0.554,0.313,0.09,0.266,21,31
Oklahoma,OK,http://www.ohfa.org,184442.486,0.472,718.475,90.694,34.9,3.78,0.447,0.305,0.146,0.296,28,29
Oregon,OR,http://www.ohcs.oregon.gov,306657.117,0.467,736.75,85.368,36.527,3.809,0.663,0.199,0.1,0.159,41,79
Pennsylvania,PA,http://www.phfa.org,217596.218,0.564,728.037,88.65,35.652,3.743,0.574,0.308,0.078,0.225,4,10
Rhode Island,RI,http://www.rhodeislandhousing.org,260533.215,0.564,725.119,88.034,37.782,3.75,0.543,0.383,0.067,0.247,16,29
South Carolina,SC,http://www.schousing.com,221635.235,0.45,724.269,88.348,35.485,3.775,0.545,0.243,0.154,0.255,5,12
South Dakota,SD,http://www.sdhda.org,203867.77,0.483,734.471,89.657,35.772,3.526,0.552,0.197,0.133,0.203,13,31
Tennessee,TN,http://www.thda.org,222781.79,0.458,723.844,89.24,35.438,3.736,0.513,0.264,0.135,0.261,93,164
Texas,TX,http://www.tdhca.state.tx.us,249852.273,0.49,719.586,88.121,37.446,3.832,0.559,0.298,0.129,0.259,13,22
Utah,UT,http://www.utahhousingcorp.org,273534.412,0.482,730.424,88.704,37.071,3.743,0.586,0.298,0.08,0.213,9,24
Vermont,VT,http://www.vhfa.org,239553.406,0.478,735.708,86.652,36.216,3.654,0.705,0.141,0.089,0.15,27,38
Virginia,VA,http://www.vhda.com,318938.87,0.537,730.179,89.464,36.944,3.704,0.492,0.25,0.219,0.238,27,55
Washington,WA,http://www.wshfc.org,327201.203,0.512,730.809,87.399,37.086,3.797,0.616,0.215,0.147,0.204,3,18
West Virginia,WV,http://www.wvhdf.com,175234.012,0.546,715.012,91.277,34.252,3.756,0.43,0.246,0.146,0.309,5,10
Wisconsin,WI,http://www.wheda.com,199357.264,0.496,733.413,87.693,34.137,3.714,0.732,0.159,0.072,0.17,24,48
Wyoming,,,247222.385,0.474,725.942,89.693,35.326,3.622,0.516,0.192,0.169,0.253,2,12
